,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,house_age,baths_per_bedroom,type_condo_townhome_rowhome_coop,type_condos,type_multi_family,type_single_family,type_townhomes
188,539000.0,2971.0,1.0,4.0,4.0,3.0,3.0,2.0,2022.0,4.0,1.0,0,0,0,1,0
189,370000.0,2335.0,1.0,3.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.6666666666666666,0,0,0,1,0
190,368000.0,2192.0,2.0,3.0,3.0,2.0,2.0,2.0,2023.0,3.0,1.0,0,0,0,1,0
191,449900.0,2593.0,2.0,4.0,3.0,3.0,3.0,2.0,2025.0,1.0,0.75,0,0,0,1,0
193,299900.0,2134.0,2.0,4.0,3.0,2.0,2.0,2.0,2024.0,2.0,0.75,0,0,0,1,0
194,254999.0,1630.0,1.0,4.0,2.0,2.0,2.0,2.0,2025.0,1.0,0.5,0,0,0,1,0
195,825000.0,3200.0,1.0,4.0,4.0,3.0,3.0,3.0,2026.0,0.0,1.0,0,0,0,1,0
196,355000.0,967.0,1.0,2.0,2.0,2.0,2.0,2.0,1977.0,49.0,1.0,0,1,0,0,0
197,328000.0,3160.0,2.0,5.0,3.0,3.0,3.0,2.0,2019.0,7.0,0.6,0,0,0,1,0
198,299990.0,1854.0,1.0,4.0,2.0,2.0,2.0,2.0,2026.0,0.0,0.5,0,0,0,1,0
200,226999.0,1575.0,1.0,4.0,2.0,2.0,2.0,2.0,2026.0,0.0,0.5,0,0,0,1,0
202,284999.0,2024.0,1.0,4.0,3.0,3.0,3.0,2.0,2024.0,2.0,0.75,0,0,0,1,0
203,795000.0,2500.0,1.0,3.0,2.0,2.0,2.0,2.0,2025.0,1.0,0.6666666666666666,0,0,0,1,0
204,364000.0,2386.0,2.0,4.0,3.0,3.0,3.0,2.0,2021.0,5.0,0.75,0,0,0,1,0
205,509543.0,3488.0,2.0,5.0,5.0,4.0,4.0,3.0,2026.0,0.0,1.0,0,0,0,1,0
206,509733.0,3090.0,2.0,4.0,4.0,3.0,3.0,2.0,2025.0,1.0,1.0,0,0,0,1,0
207,599990.0,2583.0,2.0,4.0,3.0,3.0,3.0,2.0,2025.0,1.0,0.75,0,0,0,1,0
208,464999.0,2076.0,3.0,3.0,4.0,3.0,3.0,2.0,2023.0,3.0,1.3333333333333333,0,0,0,0,1
209,609990.0,2906.0,1.0,4.0,4.0,4.0,4.0,3.0,2025.0,1.0,1.0,0,0,0,1,0
